level,component_reference,component_name,component_quantity,parent_bom_reference,parent_bom_name,has_child_bom
3,M01568,VAC-Evo/Pro - Bag -  ISO7380 Screw M6x16 (Size: M&L),1.00,M01581,VAC-Evo/Pro - C - Hardware Box (Size: M&L),True
4,M01282,VAC-Evo/Pro-M-L - ISO7380 BHC Black Screw Bag - M6x16,27.00,M01568,VAC-Evo/Pro - Bag -  ISO7380 Screw M6x16 (Size: M&L),True
5,M01280,ISO 7380 M6x16 Black Screw,831.00,M01282,VAC-Evo/Pro-M-L - ISO7380 BHC Black Screw Bag - M6x16,False
3,M01569,VAC-Evo/Pro - Bag - DIN912 Screw M6x20,1.00,M01581,VAC-Evo/Pro - C - Hardware Box (Size: M&L),True
3,M01571,VAC-Evo/Pro - Bag - Sliding Nut M6,1.00,M01581,VAC-Evo/Pro - C - Hardware Box (Size: M&L),True
2,M01289,VAC-Evo/Pro - MDF Spoilerboard (Size: M),3.00,M01558,"VAC-Evo/Pro (Complete Setup, M) [M0 use]",False
2,M01266,VAC-Evo/Pro - Plenum PVC (Size: M),3.00,M01558,"VAC-Evo/Pro (Complete Setup, M) [M0 use]",False
2,M01270,VAC-Evo/Pro - Plenum PVC Logo Board (Size: S&M),1.00,M01558,"VAC-Evo/Pro (Complete Setup, M) [M0 use]",False
2,M01376,"Grip-Lock Mat 1000 x 500 x 2mm, Ready-to-use",1.00,M01558,"VAC-Evo/Pro (Complete Setup, M) [M0 use]",True
1,M01632,"VAC-Evo/Pro (Basic Setup, M) [M0 use]",1.00,M01599,Vacuum Table - Evo / Pro,True
2,M01578,VAC-Evo/Pro - B - Piping (Size: M),1.00,M01632,"VAC-Evo/Pro (Basic Setup, M) [M0 use]",True
2,M01581,VAC-Evo/Pro - C - Hardware Box (Size: M&L),1.00,M01632,"VAC-Evo/Pro (Basic Setup, M) [M0 use]",True
2,M01289,VAC-Evo/Pro - MDF Spoilerboard (Size: M),3.00,M01632,"VAC-Evo/Pro (Basic Setup, M) [M0 use]",False
2,M01266,VAC-Evo/Pro - Plenum PVC (Size: M),3.00,M01632,"VAC-Evo/Pro (Basic Setup, M) [M0 use]",False
2,M01270,VAC-Evo/Pro - Plenum PVC Logo Board (Size: S&M),1.00,M01632,"VAC-Evo/Pro (Basic Setup, M) [M0 use]",False
1,M01559,"VAC-Evo/Pro (Complete Setup, L) [M0 use]",1.00,M01599,Vacuum Table - Evo / Pro,True
2,M01563,VAC-Evo/Pro - A - Pump & Connectors,1.00,M01559,"VAC-Evo/Pro (Complete Setup, L) [M0 use]",True
2,M01579,VAC-Evo/Pro - B - Piping (Size: L),1.00,M01559,"VAC-Evo/Pro (Complete Setup, L) [M0 use]",True
3,M01291,Coude PP 50mm 90° F/F,7.00,M01579,VAC-Evo/Pro - B - Piping (Size: L),False
3,M01292,Coude PP 50mm 90° F/M,1.00,M01579,VAC-Evo/Pro - B - Piping (Size: L),False
3,M01293,Té PP 50mm F/F/F,5.00,M01579,VAC-Evo/Pro - B - Piping (Size: L),False
3,M01263,Bulkhead PVC Fitting 50mm,6.00,M01579,VAC-Evo/Pro - B - Piping (Size: L),False
3,M01264,Guillotine Valve PVC 50mm,4.00,M01579,VAC-Evo/Pro - B - Piping (Size: L),False
3,M01663,VAC-Evo/Pro - Pipes (Size: L),1.00,M01579,VAC-Evo/Pro - B - Piping (Size: L),True
4,M01386,Pipe PP - diam.50 L3000,2.00,M01663,VAC-Evo/Pro - Pipes (Size: L),False
4,M01672,Tuyau PP 50mm - 430mm,2.00,M01663,VAC-Evo/Pro - Pipes (Size: L),False
4,M01664,Tuyau PP 50mm - 350mm,1.00,M01663,VAC-Evo/Pro - Pipes (Size: L),False
4,M01670,Tuyau PP 50mm - 270mm,2.00,M01663,VAC-Evo/Pro - Pipes (Size: L),False
4,M01665,Tuyau PP 50mm - 250mm,6.00,M01663,VAC-Evo/Pro - Pipes (Size: L),False
4,M01666,Tuyau PP 50mm - 240mm,3.00,M01663,VAC-Evo/Pro - Pipes (Size: L),False
4,M01673,Tuyau PP 50mm - 200mm,2.00,M01663,VAC-Evo/Pro - Pipes (Size: L),False
4,M01668,Tuyau PP 50mm - 140mm,1.00,M01663,VAC-Evo/Pro - Pipes (Size: L),False
4,M01648,Tuyau PP 50mm - 80mm,6.00,M01663,VAC-Evo/Pro - Pipes (Size: L),False
2,M01581,VAC-Evo/Pro - C - Hardware Box (Size: M&L),1.00,M01559,"VAC-Evo/Pro (Complete Setup, L) [M0 use]",True
2,M01290,VAC-Evo/Pro - MDF Spoilerboard (Size: L),3.00,M01559,"VAC-Evo/Pro (Complete Setup, L) [M0 use]",False
2,M01267,VAC-Evo/Pro - Plenum PVC (Size: L),3.00,M01559,"VAC-Evo/Pro (Complete Setup, L) [M0 use]",False
2,M01271,VAC-Evo/Pro - Plenum PVC Logo Board (Size: L),1.00,M01559,"VAC-Evo/Pro (Complete Setup, L) [M0 use]",False
2,M01376,"Grip-Lock Mat 1000 x 500 x 2mm, Ready-to-use",1.00,M01559,"VAC-Evo/Pro (Complete Setup, L) [M0 use]",True
1,M01633,"VAC-Evo/Pro (Basic Setup, L) [M0 use]",1.00,M01599,Vacuum Table - Evo / Pro,True
2,M01579,VAC-Evo/Pro - B - Piping (Size: L),1.00,M01633,"VAC-Evo/Pro (Basic Setup, L) [M0 use]",True
2,M01581,VAC-Evo/Pro - C - Hardware Box (Size: M&L),1.00,M01633,"VAC-Evo/Pro (Basic Setup, L) [M0 use]",True
2,M01290,VAC-Evo/Pro - MDF Spoilerboard (Size: L),3.00,M01633,"VAC-Evo/Pro (Basic Setup, L) [M0 use]",False
2,M01267,VAC-Evo/Pro - Plenum PVC (Size: L),3.00,M01633,"VAC-Evo/Pro (Basic Setup, L) [M0 use]",False
2,M01271,VAC-Evo/Pro - Plenum PVC Logo Board (Size: L),1.00,M01633,"VAC-Evo/Pro (Basic Setup, L) [M0 use]",False
